time_since_start,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,lat,lon,speed_gt,heading_gt
0.088,-0.79009,4.04620,8.36773,0.31276,0.07819,-0.20097,31.2537000,75.7040377,1.060,271.10
0.206,-1.06303,3.24654,10.27591,-0.19426,0.30910,0.21991,31.2537000,75.7040377,1.060,271.10
0.316,-1.88424,2.18112,9.77313,-0.06658,0.10996,0.50152,31.2537000,75.7040377,1.060,271.10
0.429,-0.99838,2.11408,9.35654,0.06536,-0.13806,0.53451,31.2537000,75.7040377,1.060,271.10
0.538,-0.54827,3.27287,8.31746,-0.03848,-0.17532,0.32681,31.2537000,75.7040377,1.060,271.10
0.649,0.42856,3.65834,9.88087,0.12584,0.02138,0.27306,,,,
0.759,1.00078,2.91374,9.84256,0.01894,0.15516,-0.30849,,,,
0.868,0.14126,2.69587,10.06044,-0.34331,-0.46242,-0.28405,,,,
0.977,2.14520,3.18668,7.53934,0.50396,-0.15211,-0.08063,,,,
1.087,0.84994,3.33273,8.79630,-0.36530,0.10324,-0.49419,,,,
1.196,0.44772,4.18746,8.53054,0.07575,-0.05559,-0.15577,,,,
1.304,-0.11013,4.00311,10.21366,0.02627,0.04643,0.04398,,,,
1.414,-0.26336,3.25611,9.70131,0.08002,0.18265,-0.10201,,,,
1.528,-0.47645,2.98557,8.55688,0.54245,0.43066,0.09041,,,,
1.637,-0.61052,2.93529,8.85615,-0.03299,-0.34636,0.25107,31.2536945,75.7040112,0.800,254.60
1.751,-0.96007,3.58173,8.79630,0.08002,0.35369,0.07147,31.2536945,75.7040112,0.800,254.60
1.861,0.23942,3.92888,9.23444,0.32437,-0.11545,0.22846,31.2536945,75.7040112,0.800,254.60
1.971,0.01915,3.70862,9.56244,0.07025,-0.12401,0.21441,31.2536945,75.7040112,0.800,254.60
2.089,0.89783,3.78523,8.94234,-0.77091,-0.60109,-0.18998,31.2536945,75.7040112,0.800,254.60
2.201,1.06303,3.78284,8.49702,0.28772,0.33842,-0.16188,31.2536945,75.7040112,0.800,254.60
2.311,0.83558,4.15155,8.03494,0.07269,0.15088,-0.21625,31.2536945,75.7040112,0.800,254.60
2.419,0.39504,4.69503,8.14268,0.13744,0.15455,-0.22907,31.2536945,75.7040112,0.800,254.60
2.529,-1.19471,4.78362,9.64384,0.11545,0.03665,0.10446,31.2536945,75.7040112,0.800,254.60
2.639,-0.52433,4.23774,9.22725,0.28772,0.29016,0.22541,31.2536940,75.7040002,0.740,254.00
2.750,-0.18435,3.31836,8.89925,0.25412,0.28772,0.56933,31.2536940,75.7040002,0.740,254.00
2.860,-0.37828,3.50032,7.46991,0.07453,-0.08186,0.45815,31.2536940,75.7040002,0.740,254.00
2.972,-0.37589,4.20901,8.89685,0.09163,0.14905,0.33842,31.2536940,75.7040002,0.740,254.00
3.081,1.25696,4.81474,9.27993,0.13744,-0.17959,0.40867,31.2536940,75.7040002,0.740,254.00
3.195,1.40540,4.06775,9.29908,-0.20220,-0.04520,0.12950,31.2536940,75.7040002,0.740,254.00
