device: mps
train: 100 files -> 71842 windows
val: 21 files -> 6126 windows
test: 23 files -> 18460 windows
epoch 000 | train drift 96.58% | val drift 95.95% | 38.5s
epoch 001 | train drift 92.76% | val drift 93.43% | 37.9s
epoch 002 | train drift 90.48% | val drift 95.54% | 38.3s
epoch 003 | train drift 89.38% | val drift 92.24% | 38.3s
epoch 004 | train drift 88.37% | val drift 95.54% | 38.2s
epoch 005 | train drift 87.90% | val drift 93.23% | 39.3s
epoch 006 | train drift 87.06% | val drift 91.55% | 37.9s
epoch 007 | train drift 86.49% | val drift 91.01% | 37.7s
epoch 008 | train drift 85.78% | val drift 89.68% | 38.4s
epoch 009 | train drift 85.57% | val drift 88.92% | 37.7s
epoch 010 | train drift 85.35% | val drift 87.57% | 37.7s
epoch 011 | train drift 84.77% | val drift 89.88% | 38.2s
